jzrq,plrq,nbysk,gdzcql,yffbzk,jsbfj,ysbf,ysfbzk,ysfbhtzbj,ysgl,ysckts,ysbtk,ysbzj,dfy,dclldzcsy,ynndqdfldzc,cqysk,qtcqtz,gdzcyz,gdzcjz,gdzcjzzbj,scxswzc,gyxswzc,yqzc,kfzc,gqfzltq,qtfldzc,yfsxfyj,qtjyk,yfbzj,nbyfk,ytfy,bxhtzbj,dlmmzqk,dlcxzqk,gjpjjs,gnpjjs,dysr,yfdqzq,cqdysr,wqddtzss,nfpxjgl,yjfz,xsckjtycf,yjldfz,j_kcg,hbzj,cczj,jyxjrzc,ysjrzc,yspj,yszk,yfkx,yslx,qtysk,mrfsjrzck,gyjzjzbdqjsrdq,ch,qtldzc,ldzchj,ffdkjjd,kkgsjrzc,cyzdqtz,cqgqtz,tzxfd,ljzj,gdzc,zjgc,gcwz,cqfz,wxzc,sy,cqdtfy,dysdszc,fldzchj,zczj,dqjk,xzyhyhk,crzj,jyxjrfz,ysjrfz,yfpj,yfzk,ysk,mchgjrzck,yfgzxc,yjsf,yflx,yfgl,qtfzk,ynndqdfldfz,qtldfz,ldfzhj,cqjk,yfzq,cqyfk,zxyfk,dysdsfz,qtfldfz,fldfzhj,fzhj,sszb,zbgj,zxzb,ylgj,ybfxzb,wfplr,wbbzbzhc,gsmgdqsyhj,ssgdqy,syzqyhj,fzhgdqyzj,dm
20230331,20230425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11770000000.0,460207000000.0,-,-,317642000000.0,120421000000.0,414525000000.0,21873000000.0,-,-,-,-,-,73982000000.0,-,-,-,-,3349098000000.0,-,-,-,457000000.0,-,10681000000.0,-,-,-,6709000000.0,7568000000.0,-,42685000000.0,-,5455897000000.0,-,129466000000.0,43698000000.0,78299000000.0,25515000000.0,-,-,-,30485000000.0,15042000000.0,15919000000.0,-,-,-,-,-,-,-,650724000000.0,-,-,-,-,-,5009152000000.0,19406000000.0,80756000000.0,-,10781000000.0,64848000000.0,198826000000.0,-,446745000000.0,-,446745000000.0,5455897000000.0,000001.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,7986674.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117122527.59,-,-,-,162261713.08,-,9000000.0,-,-,15638669.78,3897748.19,-,-,-,-,30867893.42,3552241.53,241557427.85,-,-,-,-,39071773.14,-,45920530.58,-,-,126416246.65,84058.16,-,7986674.71,162.22,112341205.74,353898633.59,31339009.74,-,-,-,-,-,20432729.37,402959.88,-,1423505.74,789374.31,-,-,-,1402047.79,47089.98,125840399.64,-,-,-,-,6153656.71,-,126416246.65,252256646.29,346448044.0,157024158.46,-,8998897.98,-,-356202142.51,-,90285757.93,11356229.37,101641987.3,353898633.59,000007.SZ
20230331,20230425,-,-,-,-,-,-,-,-,-,-,-,129941028.99,-,-,-,-,-,-,-,-,-,-,-,-,11747499.02,-,-,-,-,-,-,-,-,-,-,1295926.8,-,-,-,-,-,-,-,31260789.45,348095993.14,-,-,-,23746911.51,368140156.62,12511922.87,-,-,-,-,2090175263.42,51062882.89,2952117065.21,-,-,-,58182086.9,371059873.3,-,359287572.07,-,-,40954244.33,32251415.4,-,129941028.99,92849263.82,1147908148.02,4100025213.23,290224736.11,-,-,-,-,2000600.0,124137573.1,14956720.71,-,95190163.89,64283879.12,-,3423458.72,-,60494208.97,1902319.63,806274632.99,-,-,-,-,5323108.41,-,40954244.33,847228877.32,417627960.0,1002934806.1,2337306.88,275010401.5,-,1582896127.76,-,3252796335.91,-,3252796335.91,4100025213.23,000026.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,1992877.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173441137.89,-,273459893.18,-,-,54287010.07,5743693.11,-,-,-,-,4282125304.63,37486541.23,4851117420.52,-,-,-,93927.64,560216601.35,-,20812148.77,-,-,3129620.21,-,-,1992877.19,59370256.85,656697082.25,5507814502.77,46682302.88,-,-,-,-,-,420510933.32,38096046.55,-,31583350.13,61205538.67,16535277.94,-,-,8412023.44,3078103.61,1176994532.46,74961000.0,-,-,-,3096348.02,-,78090620.21,1255085152.67,1011660000.0,978244910.11,-,275253729.26,-,1677501388.96,-,3970486346.38,282243003.72,4252729350.1,5507814502.77,000029.SZ
20230331,20230428,-,-,-,-,-,-,-,10000000.0,-,-,-,75995248.43,-,7995071.68,11268701.12,-,-,-,-,-,-,-,-,-,153712630.58,-,-,-,-,-,-,-,-,-,-,488020001.57,-,-,-,-,111278300.89,-,-,130002519.4,1506856033.45,-,229439926.02,-,69278335.85,2083319323.43,195741946.27,-,-,-,-,1437796605.02,47291967.9,6734178289.66,-,-,-,3590698892.61,103565661.7,-,2877327025.73,342328708.57,-,866673872.71,632489164.38,10421262.66,75995248.43,243858505.61,8212875353.07,14947053642.73,59041250.0,-,-,-,-,1351219864.9,2737424446.69,14183533.18,-,89839370.1,30763587.49,0.0,0.0,462042998.78,43417863.0,1270062.8,4821117655.84,710138892.29,-,-,-,63284789.84,56593405.29,1576812765.0,6397930420.84,1741643085.0,485425109.23,44058923.5,674906310.08,-,4748720659.94,-,7559773878.71,989349343.18,8549123221.89,14947053642.73,000030.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,23791325.53,-,-,3601389.03,-,-,-,-,-,-,-,-,-,89818348.62,-,-,-,-,-,-,-,-,-,-,15697768.7,-,-,-,-,-,-,-,279633180.58,4277190407.08,-,465.0,13737689.1,273752535.45,9122025757.56,2764300004.99,-,-,-,-,12736413154.72,289342066.75,30030481208.91,-,-,-,264497746.18,5034770584.2,-,184986970.98,227385916.49,-,369423794.43,232858310.62,956502691.09,23791325.53,569686367.34,7870923218.08,37901404426.99,7655285710.04,-,-,-,34365784.53,6531133076.16,5587007268.88,1970201502.35,-,465127304.18,631668357.73,-,-,-,649708181.51,4806750.0,24385930706.14,4689128836.85,-,-,-,272639432.74,67672953.33,5058552631.28,29444483337.42,668971530.0,4086985715.86,-,165013726.49,-,2922763121.65,-,7828847752.27,628073337.3,8456921089.57,37901404426.99,000034.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,13587145.71,-,603419.88,109699815.08,-,-,-,-,-,-,-,86391523.55,-,3171344094.54,-,-,-,-,-,-,-,-,-,-,215314057.93,-,-,-,-,1647874.69,-,-,755000000.0,2030462923.34,-,-,2491164.57,2191710.63,2334671825.26,381034911.49,-,-,-,-,434475430.66,687335830.82,6235196548.24,-,-,-,267924983.94,204904635.6,-,1957848232.99,1092778344.13,-,4969531694.18,13371460733.6,146342712.58,13587145.71,59724169.7,20657751836.62,26892948384.86,2980730904.08,-,-,-,-,48022688.91,2684568437.01,58899722.66,-,95711443.03,94336371.96,-,-,-,1547214641.19,433539090.55,8221470184.08,3220248693.86,-,-,-,86740874.37,2832962960.86,8189780388.04,16411250572.12,356180613.0,8300305957.34,-,263988663.66,-,2962996569.18,-,10366704149.45,114993663.29,10481697812.74,26892948384.86,000035.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,2362226.23,-,70000000.0,34030183.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2838954722.17,-,1635000000.0,-,-,47005224.68,3124832.76,-,-,-,-,2089294014.24,1680585.83,6695212409.41,-,-,-,17732065.57,767520742.32,-,749733722.69,-,-,40306820.44,2824340.0,-,2362226.23,390489034.8,2180593736.08,8875806145.49,-,-,-,-,-,-,304844774.29,33485433.93,-,2015981.55,134405729.01,-,864598.47,-,47736474.67,1653487.29,1951093744.18,586800000.0,-,-,-,-,-,627106820.44,2578200564.62,1483934025.0,231941056.97,-,567845733.58,-,3051275572.52,-,5334941772.26,962663808.61,6297605580.87,8875806145.49,000036.SZ
20230331,20230428,-,-,-,-,-,-,-,-,-,-,-,460050007.76,-,-,-,-,-,-,-,-,-,-,-,-,227962799.59,-,-,-,-,-,-,-,-,-,-,27079539.89,-,-,-,-,-,-,-,-,1485558141.3,-,131111341.09,-,40324486.61,2989786072.15,99437471.98,-,-,-,-,1965939457.64,136601586.9,7079278252.48,-,-,-,9504493.03,-,-,2002685914.92,946062795.6,-,104121782.18,321111383.13,-,460050007.76,174924116.09,4294070386.64,11373348639.12,837020577.36,-,-,-,-,113379611.91,2708540035.99,3433849.08,-,513478401.59,40170284.73,-,-,-,388324644.65,2481275.02,4659122459.21,2320108017.42,-,-,-,50369595.15,-,2424229799.6,7083352258.81,299386862.0,151312418.21,-,127199190.36,-,3573457041.0,-,4160515137.88,129481242.43,4289996380.31,11373348639.12,000049.SZ
20230331,20230429,-,-,-,-,-,-,-,-,-,-,-,867490708.39,-,167347848.23,45444377.48,-,-,-,-,-,-,-,365231148.33,-,10024225.76,-,-,-,-,-,-,-,-,-,-,722825903.37,-,-,-,-,9047072.16,-,-,-,8964895091.7,-,-,-,-,6275960376.02,31480715.48,-,-,-,-,4109305992.53,1222486437.51,21175743544.79,-,-,-,4151113916.88,142299995.3,-,22320542474.82,27657820987.15,-,2174329414.01,2386399773.75,268423090.92,867490708.39,1210122420.51,59524484381.03,80700227925.82,-,-,-,-,-,1904759416.38,5673230879.03,359938758.1,-,592114786.12,148265821.25,-,-,-,6833067591.49,204337731.9,18917636158.2,21896383138.37,7995260363.88,-,-,38747425.87,1000000000.0,32065972916.26,50983609074.46,2457747661.0,26235208505.79,-,235086089.54,-,576869077.59,-,29374341297.97,342277553.39,29716618851.36,80700227925.82,000050.SZ
