dm,mc,jys
000001.SH,上证指数,SH
000002.SH,Ａ股指数,SH
000003.SH,Ｂ股指数,SH
000004.SH,工业指数,SH
000005.SH,商业指数,SH
000006.SH,地产指数,SH
000007.SH,公用指数,SH
000008.SH,综合指数,SH
000009.SH,上证380,SH
000010.SH,上证180,SH
000011.SH,基金指数,SH
000012.SH,国债指数,SH
000013.SH,企债指数,SH
000015.SH,红利指数,SH
000016.SH,上证50,SH
000017.SH,新综指,SH
000018.SH,180金融,SH
000019.SH,治理指数,SH
000020.SH,中型综指,SH
000021.SH,180治理,SH
000022.SH,沪公司债,SH
000025.SH,180基建,SH
000026.SH,180资源,SH
000027.SH,180运输,SH
000028.SH,180成长,SH
000029.SH,180价值,SH
000030.SH,180R成长,SH
000031.SH,180R价值,SH
000032.SH,上证能源,SH
000033.SH,上证材料,SH
000034.SH,上证工业,SH
000035.SH,上证可选,SH
000036.SH,上证消费,SH
000037.SH,上证医药,SH
000038.SH,上证金融,SH
000039.SH,上证信息,SH
000040.SH,上证电信,SH
000041.SH,上证公用,SH
000042.SH,上证央企,SH
000043.SH,超大盘,SH
000044.SH,上证中盘,SH
000045.SH,上证小盘,SH
000046.SH,上证中小,SH
000047.SH,上证全指,SH
000048.SH,责任指数,SH
000049.SH,上证民企,SH
000050.SH,50等权,SH
000051.SH,180等权,SH
000052.SH,50基本,SH
000053.SH,180基本,SH
000054.SH,上证海外,SH
000055.SH,上证地企,SH
000056.SH,上证国企,SH
000057.SH,全指成长,SH
000058.SH,全指价值,SH
000059.SH,全R成长,SH
000060.SH,全R价值,SH
000061.SH,沪企债30,SH
000062.SH,上证沪企,SH
000063.SH,上证周期,SH
000064.SH,非周期,SH
000065.SH,上证龙头,SH
000066.SH,上证商品,SH
000067.SH,上证新兴,SH
000068.SH,上证资源,SH
000069.SH,消费80,SH
000070.SH,能源等权,SH
000071.SH,材料等权,SH
000072.SH,工业等权,SH
000073.SH,可选等权,SH
000074.SH,消费等权,SH
000075.SH,医药等权,SH
000076.SH,金融等权,SH
000077.SH,信息等权,SH
000078.SH,电信等权,SH
000079.SH,公用等权,SH
000090.SH,上证流通,SH
000091.SH,沪财中小,SH
000092.SH,资源50,SH
000093.SH,180分层,SH
000094.SH,上证上游,SH
000095.SH,上证中游,SH
000096.SH,上证下游,SH
000097.SH,高端装备,SH
000098.SH,上证F200,SH
000099.SH,上证F300,SH
000100.SH,上证F500,SH
000101.SH,5年信用,SH
000102.SH,沪投资品,SH
000103.SH,沪消费品,SH
000104.SH,380能源,SH
000105.SH,380材料,SH
000106.SH,380工业,SH
000107.SH,380可选,SH
000108.SH,380消费,SH
000109.SH,380医药,SH
000110.SH,380金融,SH
000111.SH,380信息,SH
000112.SH,380电信,SH
000113.SH,380公用,SH
000114.SH,持续产业,SH
000115.SH,380等权,SH
000116.SH,信用100,SH
000117.SH,380成长,SH
000118.SH,380价值,SH
000119.SH,380R成长,SH
000120.SH,380R价值,SH
000121.SH,医药主题,SH
000122.SH,农业主题,SH
000123.SH,180动态,SH
000125.SH,180稳定,SH
000126.SH,消费50,SH
000128.SH,380基本,SH
000129.SH,180波动,SH
000130.SH,380波动,SH
000131.SH,上证高新,SH
000132.SH,上证100,SH
000133.SH,上证150,SH
000134.SH,上证银行,SH
000135.SH,180高贝,SH
000136.SH,180低贝,SH
000137.SH,380高贝,SH
000138.SH,380低贝,SH
000139.SH,上证转债,SH
000141.SH,380动态,SH
000142.SH,380稳定,SH
000145.SH,优势资源,SH
000146.SH,优势制造,SH
000147.SH,优势消费,SH
000148.SH,消费领先,SH
000149.SH,180红利,SH
000150.SH,380红利,SH
000151.SH,上国红利,SH
000152.SH,上央红利,SH
000153.SH,上民红利,SH
000155.SH,市值百强,SH
000158.SH,上证环保,SH
000159.SH,沪股通,SH
000160.SH,沪新丝路,SH
000161.SH,沪中国造,SH
000162.SH,沪互联+,SH
000170.SH,50AH优选,SH
000171.SH,新兴成指,SH
000300.SH,沪深300,SH
000510.SH,中证A500,SH
000680.SH,科创综指,SH
000681.SH,科创价格,SH
000682.SH,科创信息,SH
