ud,pc,zf,p,o,h,l,yc,cje,v,pv,tv,t,dm
13.049,0.3724,0.5166,3516.826,3500.372,3517.285,3499.186,3503.777,609791010300,472211056,472211056,2026170,2025-07-17 15:00:09,000001
13.733,0.3739,0.5183,3686.351,3669.038,3686.837,3667.8,3672.618,609167654300,471692273,471692273,2025037,2025-07-17 15:00:09,000002
0.281,0.1081,0.3964,260.137,259.814,260.282,259.252,259.856,144309500,437389,437389,9896,2025-07-17 15:00:03,000003
25.807,0.867,0.9484,3002.521,2976.827,3002.521,2974.29,2976.714,450908329900,293844581,293844581,1220797,2025-07-17 15:00:09,000004
15.379,0.5411,0.6013,2857.716,2845.229,2861.298,2844.208,2842.337,41839759500,38185042,38185042,283385,2025-07-17 15:00:09,000005
-99.801,-2.0845,1.2037,4687.912,4700.704,4723.851,4666.219,4787.713,3524056100,6338379,6338379,38686,2025-07-17 15:00:09,000006
-11.496,-0.2491,0.4556,4604.423,4610.959,4614.633,4593.602,4615.919,31554471800,51773934,51773934,212631,2025-07-17 15:00:09,000007
-13.383,-0.3842,0.6212,3469.691,3473.525,3483.592,3461.954,3483.074,81964393100,82069120,82069120,270671,2025-07-17 15:00:09,000008
41.3,0.7354,0.7948,5657.389,5615.486,5657.389,5612.754,5616.089,119122012300,82393485,82393485,291072,2025-07-17 15:00:09,000009
42.95,0.4878,0.6357,8848.524,8799.212,8848.946,8792.967,8805.574,165144487700,99789985,99789985,476107,2025-07-17 15:00:09,000010
7.765,0.1116,0.1204,6964.661,6956.576,6964.76,6956.387,6956.896,196316878700,1033995918,1033995918,6982,2025-07-17 15:00:09,000011
0.025,0.0111,0.015,226.041,226.03,226.047,226.013,226.016,15388814200,15159264,15159264,800,2025-07-17 15:04:57,000012
0.029,0.0097,0.0013,299.702,299.698,299.702,299.698,299.673,9329046700,9211989,92119890,2000,2025-07-17 15:04:42,000013
-10.795,-0.348,0.7492,3090.804,3101.221,3108.523,3085.287,3101.599,20518480800,24995515,24995515,58252,2025-07-17 15:00:09,000015
3.359,0.1226,0.4522,2744.26,2737.351,2744.744,2732.349,2740.901,74646333600,36151094,36151094,116629,2025-07-17 15:00:09,000016
11.039,0.3728,0.5171,2972.147,2958.227,2972.539,2957.226,2961.108,595626503500,454626205,454626205,1988965,2025-07-17 15:00:09,000017
-7.399,-0.124,0.6298,5957.671,5958.127,5981.043000000001,5943.477,5965.07,31562945700,29190722,29190722,154978,2025-07-17 15:00:09,000018
0.004,0.0003,0.3259,1150.485,1149.08,1152.093,1148.344,1150.481,98754124400,68614229,68614229,280274,2025-07-17 15:00:09,000019
18.45,1.3749,1.6532,1360.336,1341.03,1360.336,1338.152,1341.886,168080602200,87091140,87091140,368247,2025-07-17 15:00:09,000020
-0.799,-0.0786,0.3508,1016.288,1015.684,1018.275,1014.707,1017.087,66832347400,46728828,46728828,180945,2025-07-17 15:00:09,000021
0.028,0.0111,0.0032,251.209,251.201,251.209,251.201,251.181,1200468100,1193290,1193290,800,2025-07-17 15:04:06,000022
-13.929,-0.7422,0.7232,1862.751,1869.724,1871.491,1857.918,1876.68,14009417800,18694978,18694978,148861,2025-07-17 15:00:09,000025
0.974,0.0254,0.4509,3838.864,3835.832,3839.593,3822.287,3837.89,19289779100,10826148,10826148,21603,2025-07-17 15:00:09,000026
-6.617,-0.866,0.7815,757.445,762.167,762.655,756.684,764.062,4514688400,5094374,5094374,12240,2025-07-17 15:00:09,000027
20.263,0.6268,0.8372,3253.022,3227.852,3253.022,3225.958,3232.759,66807465700,24482064,24482064,104764,2025-07-17 15:00:09,000028
-12.755,-0.2858,0.6138,4450.0,4456.111,4468.614,4441.223,4462.755,40250096600,43277292,43277292,252247,2025-07-17 15:00:09,000029
17.085,0.8104,0.9064,2125.356,2107.18,2125.356,2106.246,2108.271,129927066000,62456257,62456257,256284,2025-07-17 15:00:09,000030
-0.702,-0.022,0.4815,3191.009,3188.691,3196.325,3180.957,3191.711,103369696900,81251485,81251485,403767,2025-07-17 15:00:09,000031
-2.806,-0.1559,0.7139,1796.515,1799.999,1803.099,1790.254,1799.321,7142528600,10108699,10108699,24886,2025-07-17 15:00:09,000032
9.185,0.3804,0.7406,2423.825,2411.738,2425.057,2407.173,2414.64,33006094500,27774649,27774649,59137,2025-07-17 15:00:09,000033
9.248,0.4444,0.7731,2090.192,2080.583,2090.362,2074.274,2080.944,31888077800,25650513,25650513,144293,2025-07-17 15:00:09,000034
18.812,0.6862,0.7409,2760.292,2742.145,2762.457,2742.145,2741.48,23419001200,13907195,13907195,49678,2025-07-17 15:00:09,000035
82.706,0.7596,0.7238,10970.773,10893.235,10972.044,10893.235,10888.067,11639533700,2942650,2942650,12127,2025-07-17 15:00:09,000036
99.148,1.5402,1.7046,6536.555,6434.766000000001,6538.966,6429.232,6437.407,23259738600,6331561,6331561,14736,2025-07-17 15:00:09,000037
-6.783,-0.1142,0.6156,5935.163,5934.709,5958.53,5921.949000000001,5941.946,26858787900,24022917,24022917,104737,2025-07-17 15:00:09,000038
48.726,1.275,1.7844,3870.413,3815.796,3870.413,3802.218,3821.687,51837836200,12950397,12950397,63368,2025-07-17 15:00:09,000039
3.951,0.1078,0.4922,3669.567,3662.627,3670.76,3652.717,3665.616,13927925600,10169039,10169039,66935,2025-07-17 15:00:09,000040
-6.126,-0.2435,0.7173,2510.106,2517.769,2521.747,2503.697,2516.232,8207315800,13595220,13595220,63491,2025-07-17 15:00:09,000041
-2.435,-0.1363,0.486,1783.412,1782.407,1785.071,1776.391,1785.847,48988104800,42144266,42144266,166109,2025-07-17 15:00:09,000042
-4.526,-0.2037,0.5707,2217.224,2212.413,2217.329,2204.65,2221.75,40220945700,16029872,16029872,16808,2025-07-17 15:00:09,000043
28.451,0.6912,0.6699,4144.616,4117.144,4144.72,4117.144,4116.165,90498154100,63638891,63638891,359478,2025-07-17 15:00:09,000044
37.026,0.7741,0.8463,4820.129,4782.295,4820.129,4779.650000000001,4783.103,130736820800,99470761,99470761,355314,2025-07-17 15:00:09,000045
32.436,0.7286,0.7232,4483.995,4451.8,4483.995,4451.8,4451.559,221234974800,163109652,163109652,714792,2025-07-17 15:00:09,000046
15.765,0.4524,0.5495,3500.147,3482.428,3500.188,3481.04,3484.382,295881308500,199260746,199260746,831421,2025-07-17 15:00:09,000047
-0.231,-0.0161,0.3832,1432.524,1431.002,1435.762,1430.272,1432.755,44061706200,23286192,23286192,161532,2025-07-17 15:00:09,000048
13.81,0.862,1.0241,1615.812,1601.457,1615.812,1599.406,1602.002,51515052800,22717318,22717318,72065,2025-07-17 15:00:09,000049
5.543,0.2623,0.6555,2118.581,2110.104,2118.952,2105.102,2113.038,74646333600,36151094,36151094,116629,2025-07-17 15:00:09,000050
39.319,0.474,0.6175,8334.385,8293.484,8334.39,8283.171,8295.066,165144487700,99789985,99789985,476107,2025-07-17 15:00:09,000051
-13.542,-0.4662,0.4839,2890.962,2893.855,2899.937,2885.883,2904.504,74646333600,36151094,36151094,116629,2025-07-17 15:00:09,000052
-16.837,-0.139,0.4534,12097.921,12093.309,12120.667,12065.742,12114.758,165144487700,99789985,99789985,476107,2025-07-17 15:00:09,000053
-0.475,-0.0327,0.4887,1450.386,1449.499,1452.992,1445.901,1450.861,51558177200,42155626,42155626,243400,2025-07-17 15:00:09,000054
6.677,0.4647,0.5082,1443.511,1437.377,1443.777,1436.475,1436.834,53685544900,36010326,36010326,182506,2025-07-17 15:00:09,000055
0.087,0.0076,0.4212,1148.921,1147.871,1150.299,1145.46,1148.834,67089764900,43854609,43854609,105168,2025-07-17 15:00:09,000056
17.72,0.541,0.5495,3293.176,3275.856,3293.176,3275.177,3275.456,85350795100,34037736,34037736,157512,2025-07-17 15:00:09,000057
-10.991,-0.2398,0.5847,4572.652,4577.888,4588.967,4562.167,4583.643,64989225600,76558314,76558314,399778,2025-07-17 15:00:09,000058
24.172,0.8774,0.9421,2779.09,2754.553,2779.09,2753.136,2754.918,240469856200,132311114,132311114,480618,2025-07-17 15:00:09,000059
4.383,0.1045,0.4161,4197.081,4188.878,4198.937,4181.492,4192.698,220108286700,174831692,174831692,722885,2025-07-17 15:00:09,000060
0.027,0.0151,0.0218,178.856,178.839,178.865,178.826,178.829,338222400,337318,337318,1000,2025-07-17 14:56:39,000061
3.257,0.1656,0.4307,1970.039,1966.231,1970.158,1961.687,1966.782,25155149900,17877813,17877813,79288,2025-07-17 15:00:09,000062
-4.091,-0.1101,0.5166,3710.609,3710.924,3721.167,3701.977,3714.7,49194055200,37975059,37975059,133310,2025-07-17 15:00:09,000063
26.394,0.8445,0.9112,3151.886,3124.255,3152.138,3123.657,3125.492,113574523500,50946547,50946547,259022,2025-07-17 15:00:09,000064
22.129,0.6813,0.7171,3270.239,3247.28,3270.573,3247.28,3248.11,95720260100,64623641,64623641,184807,2025-07-17 15:00:09,000065
8.005,0.3031,0.5971,2649.061,2639.164,2650.995,2635.226,2641.056,33723512500,30387812,30387812,63987,2025-07-17 15:00:09,000066
99.914,1.4298,1.6131,7087.884,6987.612,7087.884,6975.158,6987.97,73776882700,23052372,23052372,119626,2025-07-17 15:00:09,000067
6.934,0.2414,0.6263,2879.404,2870.116,2882.385,2864.396,2872.47,31401703900,21483717,21483717,48553,2025-07-17 15:00:09,000068
44.08,0.9254,0.9441,4807.649,4762.864,4807.837,4762.864,4763.569,45911360500,15419855,15419855,51155,2025-07-17 15:00:09,000069
5.35,0.2134,0.6132,2512.818,2509.018,2516.246,2500.87,2507.468,7142528600,10108699,10108699,24886,2025-07-17 15:00:09,000070
19.973,0.6077,1.0185,3306.677,3281.802,3309.802,3276.328,3286.704,33006094500,27774649,27774649,59137,2025-07-17 15:00:09,000071
11.513,0.4226,0.7361,2735.652,2726.422,2735.777,2715.724,2724.139,31888077800,25650513,25650513,144293,2025-07-17 15:00:09,000072
17.778,0.5661,0.5578,3158.358,3141.332,3158.849,3141.332,3140.58,23419001200,13907195,13907195,49678,2025-07-17 15:00:09,000073
26.171,0.3846,0.6766,6830.593,6804.261,6850.299,6804.261,6804.422,11639533700,2942650,2942650,12127,2025-07-17 15:00:09,000074
123.282,1.6678,1.8123,7515.196,7393.163,7527.124,7393.163,7391.914,23259738600,6331561,6331561,14736,2025-07-17 15:00:09,000075
-1.756,-0.0301,0.6759,5835.53,5830.704,5856.995,5817.538,5837.286,27055114900,24110494,24110494,90443,2025-07-17 15:00:09,000076
55.916,1.2717,1.7031,4452.749,4392.146,4453.366,4378.483,4396.833000000001,51837836200,12950397,12950397,63368,2025-07-17 15:00:09,000077
0.863,0.0278,0.6072,3104.723,3099.16,3105.68,3086.833,3103.86,13927925600,10169039,10169039,66935,2025-07-17 15:00:09,000078
-3.359,-0.141,0.7046,2379.477,2385.053,2388.738,2371.948,2382.836,8207315800,13595220,13595220,63491,2025-07-17 15:00:09,000079
7.97,0.6302,0.7014,1272.583,1264.067,1272.583,1263.713,1264.613,595626503500,454626205,454626205,1988965,2025-07-17 15:00:09,000090
142.446,1.1398,1.1593,12639.977,12495.097,12639.977,12495.097,12497.531,44911251400,32569545,32569545,126911,2025-07-17 15:00:09,000091
4.488,0.1295,0.4922,3469.489,3462.567,3471.429,3454.374,3465.001,33721287800,21361833,21361833,56800,2025-07-17 15:00:09,000092
43.148,0.389,0.5544,11134.41,11088.043,11134.81,11073.323,11091.262,165144487700,99789985,99789985,476107,2025-07-17 15:00:09,000093
2.831,0.0897,0.4556,3159.392,3154.316,3160.8,3146.418,3156.561,31185791700,21334836,21334836,48553,2025-07-17 15:00:09,000094
31.747,1.0711,1.3308,2995.823,2961.871,2995.823,2956.376,2964.076,133092937400,68994162,68994162,311821,2025-07-17 15:00:09,000095
27.782,0.6611,0.6654,4229.945,4202.554,4230.515,4202.554,4202.163,72759264100,37090889,37090889,116091,2025-07-17 15:00:09,000096
113.287,1.319,1.4854,8702.02,8599.753,8702.02,8574.447,8588.733,75204187700,22416521,22416521,114441,2025-07-17 15:00:09,000097
-11.127,-0.2101,0.4969,5286.041,5286.907,5298.552,5272.229,5297.168,127974132100,118883830,118883830,550514,2025-07-17 15:00:09,000098
62.454,0.783,0.7564,8038.613,7978.279,8038.613,7978.279,7976.159000000001,111057344800,75964570,75964570,301253,2025-07-17 15:00:09,000099
-3.329,-0.0565,0.413,5886.235,5880.137,5893.881,5869.557,5889.564,239031476900,194848400,194848400,851766,2025-07-17 15:00:09,000100
0.029,0.0116,0.0056,249.05,249.038,249.05,249.036,249.021,404325400,403133,403133,100,2025-07-17 14:58:54,000101
44.59,0.7883,0.8774,5701.093,5666.273,5701.093,5651.463,5656.503,43076791500,21620769,21620769,87435,2025-07-17 15:00:09,000102
64.207,0.8049,0.8664,8041.109,7971.998000000001,8041.109,7971.998000000001,7976.902,24480798300,6341004,6341004,18503,2025-07-17 15:00:09,000103
3.746,0.2944,0.7531,1276.204,1273.213,1277.793,1268.21,1272.458,2358160700,3410377,3410377,12745,2025-07-17 15:00:09,000104
30.294,0.7448,1.0848,4097.679,4062.771,4101.913,4057.79,4067.385,15584340500,13054363,13054363,33221,2025-07-17 15:00:09,000105
39.514,0.8268,0.9609,4818.804,4779.73,4818.804,4772.879,4779.29,32230622200,22894596,22894596,73657,2025-07-17 15:00:09,000106
27.775,0.5351,0.637,5218.371,5192.304,5223.977,5190.911,5190.596,9662626500,5834297,5834297,23228,2025-07-17 15:00:09,000107
30.625,0.2611,0.6016,11759.175,11731.484,11793.963,11723.402,11728.55,3058666700,1754394,1754394,4727,2025-07-17 15:00:09,000108
111.014,1.059,1.1768,10593.712,10478.468,10593.908,10470.546,10482.698,12332168900,4886680,4886680,15189,2025-07-17 15:00:09,000109
-1.268,-0.0301,0.9063,4218.127,4221.821,4238.844,4200.604,4219.395,8512084400,9368331,9368331,40472,2025-07-17 15:00:09,000110
82.702,1.0191,1.2983,8197.704,8119.043000000001,8197.704,8092.343,8115.002,21857842500,5967164,5967164,39772,2025-07-17 15:00:09,000111
86.396,1.8541,2.354,4746.029,4642.052,4746.029,4636.341,4659.633,8131258000,3369267,3369267,18890,2025-07-17 15:00:09,000112
0.801,0.031,0.7154,2585.778,2586.408,2593.437,2574.945,2584.977,2715422800,7273003,7273003,16958,2025-07-17 15:00:09,000113
2.068,0.1756,1.131,1179.811,1182.942,1187.195,1173.875,1177.743,19247536900,14140320,14140320,60276,2025-07-17 15:00:09,000114
57.907,0.7746,0.8193,7533.701,7475.376,7533.701,7472.45,7475.794,119122012300,82393485,82393485,291072,2025-07-17 15:00:09,000115
0.035,0.0177,0.0182,198.22,198.196,198.224,198.188,198.185,440575100,439134,439134,800,2025-07-17 15:04:06,000116
23.203,0.6413,0.8042,3641.392,3618.56,3641.392,3612.296,3618.189,38525054600,15358764,15358764,53385,2025-07-17 15:00:09,000117
