dm,p,o,h,l,yc,cje,v,pv,ud,pc,zf,t,tv
000001.SH,3505.698,3519.805,3527.038,3495.33,3519.6498,345594269900,320411093,32041109300,-13.9518,-0.3964,0.9009,2025-07-15 10:45:33,
000002.SH,3674.596,3689.415,3697.01,3663.68,3689.2212,345298880300,320151580,32015158000,-14.6252,-0.3964,0.9034,2025-07-15 10:45:33,
000003.SH,259.55,261.378,261.561,259.252,262.8982,68599100,221811,22181100,-3.3482,-1.2736,0.8783,2025-07-15 10:45:33,
000004.SH,2967.731,2976.169,2984.376,2960.796,2978.5458,248573865700,199679722,19967972200,-10.8148,-0.3631,0.7917,2025-07-15 10:45:33,
000005.SH,2851.998,2863.321,2870.007,2839.558,2860.937,25560437900,25627736,2562773600,-8.939,-0.3125,1.0643,2025-07-15 10:45:33,
000006.SH,4801.215,4849.515,4854.103,4778.645,4851.4791,2653349000,4725505,472550500,-50.2641,-1.0361,1.5554,2025-07-15 10:45:33,
000007.SH,4621.666,4665.763,4667.336,4606.408,4674.408,18781552900,33425561,33425561,-52.742,-1.1283,1.3034,2025-07-15 10:45:42,17823
000008.SH,3505.184,3522.4,3531.963,3492.26,3515.841,50080820700,57041852,57041852,-10.657,-0.3031,1.1293,2025-07-15 10:45:42,10930
000009.SH,5618.192,5636.003,5656.965,5603.605,5645.2803,65825789000,56217506,5621750600,-27.0883,-0.4798,0.9452,2025-07-15 10:45:42,
000010.SH,8831.928,8846.611,8873.259,8803.499,8841.9534,89246508600,62439396,6243939600,-10.0254,-0.1134,0.789,2025-07-15 10:45:42,
000011.SH,6955.235000000001,6955.419,6959.955,6952.774,6954.8537,100518854700,540445051,54044505100,0.3813,0.0055,0.1033,2025-07-15 10:45:42,
000012.SH,225.945,225.911,225.948,225.897,225.893,4549891100,4432859,443285900,0.052,0.023,0.0226,2025-07-15 10:45:42,
000013.SH,299.606,299.606,299.606,299.606,299.606,0,0,0,0.0,0.0,0.0,2025-07-15 00:00:00,
000015.SH,3128.144,3148.69,3154.465,3120.844,3151.1352,11317192800,13333870,1333387000,-22.9912,-0.7296,1.0669,2025-07-15 10:45:42,
000016.SH,2751.376,2758.718,2765.496,2741.385,2757.808,36392138800,18673967,1867396700,-6.432,-0.2332,0.8743,2025-07-15 10:45:42,
000017.SH,2962.385,2974.654,2980.781,2953.96,2974.4996,340409701400,315044897,31504489700,-12.1146,-0.4073,0.9017,2025-07-15 10:45:42,
000018.SH,6036.362,6064.355,6085.162,6011.323,6047.0993,20322753300,17490601,1749060100,-10.7373,-0.1776,1.2211,2025-07-15 10:45:42,
000019.SH,1154.558,1158.046,1160.367,1150.673,1157.5649,57309395400,42381777,4238177700,-3.0069,-0.2598,0.8374,2025-07-15 10:45:42,
000020.SH,1326.184,1335.121,1339.736,1324.105,1338.2554,88746728000,53358342,5335834200,-12.0714,-0.902,1.168,2025-07-15 10:45:42,
000021.SH,1021.816,1024.641,1026.726,1018.293,1024.1146,38316319800,27214152,2721415200,-2.2986,-0.2244,0.8234,2025-07-15 10:45:42,
000022.SH,251.14,251.14,251.14,251.139,251.1208,64849200,64283,6428300,0.0192,0.0076,0.0004,2025-07-15 10:36:12,
000025.SH,1882.758,1891.917,1893.774,1875.503,1891.2465,7236735100,10719847,1071984700,-8.4885,-0.4488,0.9661,2025-07-15 10:45:42,
000026.SH,3841.227,3861.342,3876.397,3837.625,3864.6774,13864900200,7393855,739385500,-23.4504,-0.6068,1.0032,2025-07-15 10:45:42,
