dm,mc,jys,code
603071,物产环能,sh,sw_mt
601918,新集能源,sh,sw_mt
601898,中煤能源,sh,sw_mt
601699,潞安环能,sh,sw_mt
601666,平煤股份,sh,sw_mt
601225,陕西煤业,sh,sw_mt
601101,昊华能源,sh,sw_mt
601088,中国神华,sh,sw_mt
601015,陕西黑猫,sh,sw_mt
601011,宝泰隆,sh,sw_mt
601001,晋控煤业,sh,sw_mt
600997,开滦股份,sh,sw_mt
600985,淮北矿业,sh,sw_mt
600971,恒源煤电,sh,sw_mt
600925,苏能股份,sh,sw_mt
600792,云煤能源,sh,sw_mt
600758,辽宁能源,sh,sw_mt
600740,山西焦化,sh,sw_mt
600725,云维股份,sh,sw_mt
600575,淮河能源,sh,sw_mt
600546,山煤国际,sh,sw_mt
600508,上海能源,sh,sw_mt
600408,安泰集团,sh,sw_mt
600403,大有能源,sh,sw_mt
600397,安源煤业,sh,sw_mt
600395,盘江股份,sh,sw_mt
600348,华阳股份,sh,sw_mt
600188,兖矿能源,sh,sw_mt
600157,永泰能源,sh,sw_mt
600123,兰花科创,sh,sw_mt
600121,郑州煤电,sh,sw_mt
002128,电投能源,sz,sw_mt
000983,山西焦煤,sz,sw_mt
000937,冀中能源,sz,sw_mt
000723,美锦能源,sz,sw_mt
000571,新大洲A,sz,sw_mt
000552,甘肃能化,sz,sw_mt
920088,科力股份,bj,sw_sysh
603798,康普顿,sh,sw_sysh
603727,博迈科,sh,sw_sysh
603619,中曼石油,sh,sw_sysh
603353,和顺石油,sh,sw_sysh
603223,恒通股份,sh,sw_sysh
601857,中国石油,sh,sw_sysh
601808,中海油服,sh,sw_sysh
601233,桐昆股份,sh,sw_sysh
600968,海油发展,sh,sw_sysh
600938,中国海油,sh,sw_sysh
600871,石化油服,sh,sw_sysh
600800,渤海化学,sh,sw_sysh
600777,ST新潮,sh,sw_sysh
600759,洲际油气,sh,sw_sysh
600688,上海石化,sh,sw_sysh
600583,海油工程,sh,sw_sysh
600506,统一股份,sh,sw_sysh
600387,退市海越,sh,sw_sysh
600346,恒力石化,sh,sw_sysh
600339,中油工程,sh,sw_sysh
600256,广汇能源,sh,sw_sysh
600028,中国石化,sh,sw_sysh
300839,博汇股份,sz,sw_sysh
300191,潜能恒信,sz,sw_sysh
300164,通源石油,sz,sw_sysh
300135,宝利国际,sz,sw_sysh
300055,万邦达,sz,sw_sysh
002986,宇新股份,sz,sw_sysh
002828,贝肯能源,sz,sw_sysh
002629,仁智股份,sz,sw_sysh
002554,惠博普,sz,sw_sysh
002493,荣盛石化,sz,sw_sysh
002476,宝莫股份,sz,sw_sysh
002408,齐翔腾达,sz,sw_sysh
002377,国创高新,sz,sw_sysh
002221,东华能源,sz,sw_sysh
002207,准油股份,sz,sw_sysh
001316,润贝航科,sz,sw_sysh
000985,大庆华科,sz,sw_sysh
000968,蓝焰控股,sz,sw_sysh
000819,岳阳兴长,sz,sw_sysh
000703,恒逸石化,sz,sw_sysh
000698,沈阳化工,sz,sw_sysh
000637,茂化实华,sz,sw_sysh
000554,泰山石油,sz,sw_sysh
000301,东方盛虹,sz,sw_sysh
000096,广聚能源,sz,sw_sysh
000059,华锦股份,sz,sw_sysh
837023,芭薇股份,bj,sw_mrhl
832982,锦波生物,bj,sw_mrhl
688363,华熙生物,sh,sw_mrhl
605009,豪悦护理,sh,sw_mrhl
603983,丸美生物,sh,sw_mrhl
603630,拉芳家化,sh,sw_mrhl
603605,珀莱雅,sh,sw_mrhl
603238,诺邦股份,sh,sw_mrhl
603193,润本股份,sh,sw_mrhl
603059,倍加洁,sh,sw_mrhl
600315,上海家化,sh,sw_mrhl
600249,两面针,sh,sw_mrhl
600223,福瑞达,sh,sw_mrhl
301371,敷尔佳,sz,sw_mrhl
301108,洁雅股份,sz,sw_mrhl
301009,可靠股份,sz,sw_mrhl
300957,贝泰妮,sz,sw_mrhl
300955,嘉亨家化,sz,sw_mrhl
300896,爱美客,sz,sw_mrhl
300888,稳健医疗,sz,sw_mrhl
300886,华业香料,sz,sw_mrhl
300856,科思股份,sz,sw_mrhl
300849,锦盛新材,sz,sw_mrhl
300740,水羊股份,sz,sw_mrhl
300658,延江股份,sz,sw_mrhl
300132,青松股份,sz,sw_mrhl
003006,百亚股份,sz,sw_mrhl
002511,中顺洁柔,sz,sw_mrhl
002243,力合科创,sz,sw_mrhl
002094,青岛金王,sz,sw_mrhl
001328,登康口腔,sz,sw_mrhl
001206,依依股份,sz,sw_mrhl
000615,*ST美谷,sz,sw_mrhl
836263,中航泰达,bj,sw_hb
832802,保丽洁,bj,sw_hb
832145,恒合股份,bj,sw_hb
831370,新安洁,bj,sw_hb
688701,卓锦股份,sh,sw_hb
688679,通源环境,sh,sw_hb
688671,碧兴物联,sh,sw_hb
688600,皖仪科技,sh,sw_hb
688565,力源科技,sh,sw_hb
688501,青达环保,sh,sw_hb
688480,赛恩斯,sh,sw_hb
688466,金科环境,sh,sw_hb
688376,美埃科技,sh,sw_hb
688370,丛麟科技,sh,sw_hb
688335,复洁环保,sh,sw_hb
688309,恒誉环保,sh,sw_hb
688178,万德斯,sh,sw_hb
688101,三达膜,sh,sw_hb
688096,京源环保,sh,sw_hb
688069,德林海,sh,sw_hb
688057,金达莱,sh,sw_hb
605081,*ST太和,sh,sw_hb
605069,正和生态,sh,sw_hb
603903,中持股份,sh,sw_hb
603817,海峡环保,sh,sw_hb
603797,联泰环保,sh,sw_hb
603759,海天股份,sh,sw_hb
603686,福龙马,sh,sw_hb
603588,高能环境,sh,sw_hb
603568,伟明环保,sh,sw_hb
603324,XD盛剑科,sh,sw_hb
603315,福鞍股份,sh,sw_hb
603291,联合水务,sh,sw_hb
603282,亚光股份,sh,sw_hb
603200,上海洗霸,sh,sw_hb
603177,德创环保,sh,sw_hb
603126,中材节能,sh,sw_hb
601827,三峰环境,sh,sw_hb
601368,绿城水务,sh,sw_hb
601330,绿色动力,sh,sw_hb
601200,上海环境,sh,sw_hb
601199,江南水务,sh,sw_hb
601158,重庆水务,sh,sw_hb
601033,永兴股份,sh,sw_hb
600874,创业环保,sh,sw_hb
600817,宇通重工,sh,sw_hb
600796,XD钱江生,sh,sw_hb
600769,祥龙电业,sh,sw_hb
600526,菲达环保,sh,sw_hb
600461,XD洪城环,sh,sw_hb
600388,龙净环保,sh,sw_hb
600323,XD瀚蓝环,sh,sw_hb
600292,远达环保,sh,sw_hb
600283,钱江水利,sh,sw_hb
600217,中再资环,sh,sw_hb
600187,国中水务,sh,sw_hb
600168,武汉控股,sh,sw_hb
600133,东湖高新,sh,sw_hb
600008,首创环保,sh,sw_hb
301519,舜禹股份,sz,sw_hb
301500,飞南资源,sz,sw_hb
301372,科净源,sz,sw_hb
301305,朗坤科技,sz,sw_hb
301288,*ST清研,sz,sw_hb
301265,华新环保,sz,sw_hb
